Catalog_Number,Match_Ranking,Resource_Name,Abbreviated_Citation,Perceived_Impact,Developer_Sector,Stream_type_requirements,Geographic_applicability,Adaptable_to_other_locations,Agency_or_organization,Year_of_publication_or_latest_update,Assessment_Class,Hydrology,Hydraulics,Geomorphology,Physicochemical,Biology,Biology_and_Stream_Habitat,Connectivity_Aquatic_Organism_Passage,Stream_Habitat,Riparian_Zone,Variability,Stream_Classification,Time_Required_Tasks_only,Training_Needed,Location_of_Assessment,Tier_of_analysis,Input_Data_Type,Output_Data_Type,Data_Availability,Reference_Required,Performance_Standards_or_Reference_Curves_Used,Programmatic_Applications,Region_of_development_application,State_of_development_application,USACE_Division_use,USACE_District_use,URL_for_tool_or_data_storage,URL_for_user_guide,Notes,Long_Citation,Introductory_Description
52,52,USFS Stream Habitat Inventory Level 3 - Intensive Field Inventory - Pacific Northwest Region,"USFS, 2013",Medium,Public,All streams,Pacific Northwest,No,USFS,2013,,-,-,DC,-,DC,DC,-,DC,-,-,-,"Days,Week+",Medium,"Field,Office",T3,Field data,Descriptive Summaries,No,No,No,Inventory,Pacific Northwest,"WA,OR",-,-,-,https://www.fs.usda.gov/emc/rig/documents/protocols/Stream-Inventory-Handbook-Level-I-II.pdf,-,-,"The Pacific Northwest Region (Region 6) stream inventory is designed on a hierarchical scale to provide the user the opportunity to choose an inventory protocol which meets the data needs for the questions asked.  Level III is an intensive field inventory designed specifically to answer a particular question (i.e., monitoring, project level planning and project design, etc.)."
53,53,Large Wood National Manual - Assessment and Inventory,USBR 2015,Medium,Public,All streams,Nationwide,Yes,USBR,2015,Method,-,DC,DC,-,-,-,-,-,-,-,-,Days,Medium,"Field,Office",T3,Field data,Data,No,No,No,Inventory,-,-,-,-,-,-,-,"Bureau of Reclamation and U.S. Army Corps of Engineers. 2015. National Large Wood Manual: Assessment, Planning, Design, and Maintenance of Large Wood in Fluvial Ecosystems: Restoring Process, Function, and Structure. 628 pages + Appendix. Available: www.usbr.gov/pn/",-
54,54,Channel Evolution Model - Schumm,"(Schumm et al., 1984; Simon and Hupp, 1986; Simon, 1989)",Medium,Public,All streams,Nationwide,Yes,CSU,1989,Model,-,-,S,-,-,-,-,-,-,-,S,Hours,Low,"Field,Office",T1,Field data,Categorial or descriptive summaries,No,No,No,Monitoring,-,-,-,-,-,-,-,"Schumm, S. A.: Geomorphic thresholds and complex response of drainage systems, Fluv.Geomorphol., 6, 69–85, 1973",-
55,55,Riffle Stability Index ,"(Kappesser, 2002)",Medium,Public,All streams,Nationwide,Yes,USDA,2003,Method,-,-,RE,-,-,-,-,-,-,-,-,Days,Medium,"Field,Office",T2,Field data,"Index,Data",No,Yes,No,Monitoring,-,-,-,-,-,-,"The Riffle Stability Index procedure is best applied to stream channels with gradients from 1.5 to 5 percent.  The channel is best described as a Rosgen B-2, B-3, B-4or F-2, F-3, F-4 type. Three riffles are measured within each uniform Rosgen reach.  Each riffle selected for measurement should be representative or typical within the reach.  An ideal riffle is located in a straight section of reach, has uniform depth in the cross-section, and is at a point of thalweg crossover.  Flow is evenly distributed across the channel and is not concentrated toward either bank.  For each riffle, field data are gathered to determine the distribution of particle sizes present.  An estimate of the common large size of particle capable of movement at bankfull flow is obtained by sampling a nearby bar deposit.","Kappesser, G. B. (2002). A RIFFLE STABILITY INDEX TO EVALUATE SEDIMENT LOADING TO STREAMS 1. JAWRA Journal of the American Water Resources Association, 38(4), 1069-1081.",-
56,56,V* Pool ,"(Hilton and Lisle, 1993)",Medium,Public,All streams,Nationwide,Yes,USFS,1993,Method,-,-,RE,-,-,-,-,-,-,-,-,Days,Medium,"Field,Office",T2,Field data,"Index,Data",No,Yes,No,Monitoring,-,-,-,-,-,-,"In such channels, the fraction of pool volume filled with fine sediment can be used as an index of the supply of mobile sediment. This fraction (V*) is the ratio of fine-sediment volume to pool water volume plus fine-sediment volume.","Hilton, Sue; Lisle, Thomas E. 1993.Mea-suring the fraction of pool volume filledwith fine sediment. Res. Note PSW-RN-414. Albany, CA: Pacific Southwest Re-search Station, Forest Service, U.S. De-partment of Agriculture; 11 p.","The fraction of pool volume filled with fine sediment (usually fine sand to medium gravel) canbe a useful index of the sediment supply andsubstrate habitat of gravel-bed channels. It can beused to evaluate and monitor channel conditionand to detect and evaluate sediment sources. This fraction (V*) is the ratio of fine-sediment volumeto pool water volume plus fine-sediment volume.These volumes are computed for the residual por-tion of the pool that lies below the elevation of thedownstream riffle crest. Fine-sediment thicknessis measured by driving a graduated metal probeinto a fine-grained deposit until the underlyingcoarser substrate is felt. Water depth and fine-sediment thickness are measured across transects,and volumes are computed by summing productsof cross-sectional areas and distances betweentransects. Replicate measurements of V* weremade in 20 pools, and the variability of V*w, theweighted mean value of V* for a reach, wasanalyzed in 12 reaches. The largest source ofvariability in V* was the measurement of finesediment volume. Topographic irregularities inpools and on riffle crests and effects of variation indischarge on measurement of riffle crest elevationalso affected V*. Ten to 20 pools are needed toestimate V*win a reach, depending on acceptableerror and variability between pools."
57,57,Bank Pins / Scour Chains,NRCS 2007,Medium,Public,All streams,Nationwide,Yes,NRCS,2007,Method,-,-,DC,-,-,-,-,-,-,-,-,"Days,Week+",Medium,"Field,Office",T3,Field data,Data,No,Yes,No,Monitoring,-,-,-,-,-,-,-,"NRCS, U. (2007). Part 654 Stream Restoration Design National Engineering Handbook. Washington, DC: USDA Natural Resources Conservation Service.",-
58,58,"RCE: A Riparian, Channel, and Environmental Inventory for small streams",Petersen 1992,Medium,Academia,"Small, low sloping streams, in agricultural settings",Nationwide,No,University of Lund,1992,Protocol,-,S,S,S,S,S,-,S,S,-,-,Hours,Low,"Field,Office",T1,Field data,Index,No,No,No,Inventory,-,-,-,-,-,-,-,"Petersen Jr, R. C. (1992). The RCE: a riparian, channel, and environmental inventory for small streams in the agricultural landscape. Freshwater biology, 27(2), 295-306.","The  Riparian,  Channel  and  Environmental  (RCE) Inventory  has been  developed  toassess  the  physical and  biological  condition  of  small streams  in the lowland,  agriculturallandscape.  It consists  of  sixteen  characteristics  which  define  the  structure  of the  riparianzone,  stream  channel  morphology,  and  the  biological  condition  in both  habitats."
59,59,Indicators of Hydrologic Alteration (IHA),"Richter et al., 1996",Medium,Nonprofit,All streams,Nationwide,Yes,The Nature Conservancy,1996,Protocol,DC,-,-,-,-,-,-,-,-,-,-,"Hours,Week+","Medium,High","Field,Office",T3,Field data,Index,No,No,No,Inventory,-,-,-,-,https://www.conservationgateway.org/ConservationPractices/Freshwater/EnvironmentalFlows/MethodsandTools/IndicatorsofhydrologicAlteration/Pages/indicators-hydrologic-alt.aspx,https://www.conservationgateway.org/ConservationPractices/Freshwater/EnvironmentalFlows/MethodsandTools/IndicatorsofhydrologicAlteration/Pages/indicators-hydrologic-alt.aspx,"Thirty-three parameters can be lumped into five groups: (1) magnitude of monthly flowconditions; (2) magnitude and duration of extreme flow events (e.g. high and low flows);(3) the timing of extreme flow events; (4) frequency and duration of high low flowpulses; and (5) the rate and frequency of changes in flows. For these parameters, the IHAcan perform a Range of Variability Analysis.","Richter, B.D., Baumgartner, J.V., Powell, J., and Braun, D.P., (1996). A method for assessing hydrologic alteration within ecosystems. Conservation Biology, 10(4), 1163-1174. Posted to nature.org with permission from Blackwell Science, publisher of Conservation Biology.",
61,60,Rosgen Level 1 - Geomorphic Characterization,Rosgen 1996,Medium,Private,All streams,Nationwide,Yes,Wildland Hydrology,1997,Protocol,-,-,RE,-,-,-,-,-,-,-,-,Hours,Medium,"Field,Office",T1,Field data,Data,No,No,No,"Classification,Assessment",-,-,-,-,https://cfpub.epa.gov/watertrain/moduleFrame.cfm?parent_object_id=1190,https://directives.sc.egov.usda.gov/17833.wba,"Includes: Geomorphology and the Role of the River, stream Classification and Landscape Types, Bankfull Determination and Validation at Gage Stations, Development of Regional Curves at Gage Station, Prediction and Validation of Hydrologic Characteristics, Sedimentation and the Erosional and Depositional Processes, Streambank Erosion, Stream Succession, Stream Restoration and Natural Channel Design Principles, Geomorphic Approach to the Restoration of Incised Rivers, Fisheries and Integration of Ecosystem Concepts in River Systems, Cumulative Watershed Effects and Management implications","Rosgen, D.L. and H.L. Silvey. 1996. Applied River Morphology. Wildland Hydrology Books, Fort Collins, CO","conduct a geomorphic characterization and delineate stream types using the stream classification method as published in Applied River Morphology (Rosgen, 1996)."
61,61,Rosgen Level 2 - Morphological Description,Rosgen 1996,Medium,Private,All streams,Nationwide,Yes,Wildland Hydrology,1996,Protocol,-,RE,DC,-,-,-,-,-,-,DC,-,Hours,Medium,"Field,Office",T1,Field data,Data,No,No,No,"Classification,Assessment",-,-,-,-,https://cfpub.epa.gov/watertrain/moduleFrame.cfm?parent_object_id=1189,https://directives.sc.egov.usda.gov/17833.wba,"Includes: Integrating fluvial geomorphology concepts with problem-solving techniques, Learning and mapping fluvial landscapes and valley types, Pre-mapping landscapes and stream types on aerial photos and topographic maps, Field validation of the bankfull, stage at a USGS gage station, Regional curve development, Field methods to properly measure morphological variables and develop dimensionless ratios for assessment and design, Stream succession and the central tendency of rivers
Reference reach selection and applications, Management applications using stream types","Rosgen, D.L. and H.L. Silvey. 1996. Applied River Morphology. Wildland Hydrology Books, Fort Collins, CO","a geomorphic characterization and delineate stream types using the stream classification method as published in Applied River Morphology (Rosgen, 1996)."
62,62,Rosgen Level 3 - Stream Condition,Rosgen 1996,Medium,Private,All streams,Nationwide,Yes,Wildland Hydrology,1998,Protocol,-,RE,DC,-,-,-,S,-,DC,DC,S,Days,High,"Field,Office",T2,Field data,Data,No,Yes,No,Assessment,-,-,-,-,https://cfpub.epa.gov/watertrain/moduleFrame.cfm?parent_object_id=1191,https://directives.sc.egov.usda.gov/17833.wba,"Predict and measure: Stream channel stability, Streambank erosion using the BANCS Model (BEHI/NBS), Sediment competence/entrainment, Total annual sediment yield and transport capacity using the FLOWSED and POWERSED models, Overall sediment supply ratings related to specific sources, processes, and locations.","Rosgen, D.L. and H.L. Silvey. 1996. Applied River Morphology. Wildland Hydrology Books, Fort Collins, CO","techniques for field measurements, data analysis and interpretations, and the use of replicate studies for verification and time-trend analysis: "
63,63,Rosgen Level 4 - Validation,Rosgen 1996,Medium,Private,All streams,Nationwide,Yes,Wildland Hydrology,1999,Protocol,-,DC,DC,-,-,-,-,-,-,DC,-,"Days,Week+",High,"Field,Office",T3,Field data,Data,No,Yes,No,Assessment,-,-,-,-,https://cfpub.epa.gov/watertrain/moduleFrame.cfm?parent_object_id=1192,https://directives.sc.egov.usda.gov/17833.wba,"Includes: Understanding the nature and cause of instability and poor habitat, Collecting and analyzing field data, Completing a river restoration design by integrating physical, ecological, and aesthetic objectives, Channel capacity and sediment transport calculations, Aquatic habitat improvement designs, Streambank stabilization techniques, Stream diversion structure design, Riparian area improvement and function, Design layout, Field supervision, construction methods, equipment selection, contracting procedures, and, permit applications, Effectiveness monitoring, Other related subjects integrated into the river designs","Rosgen, D.L. and H.L. Silvey. 1996. Applied River Morphology. Wildland Hydrology Books, Fort Collins, CO","river restoration, stabilization, and aquatic habitat enhancement. The complexities involved in natural channel processes require detailed study and a working knowledge of the principles applied in river design"
64,64,Basinwide Estimation of Habitat and Fish Populations in Streams,"Dolloff et al., 1993",Medium,Public,All streams,Nationwide,Yes,USFS,1993,Protocol,-,-,-,-,DC,DC,-,RE,-,-,-,"Days,Week+","Medium,High","Field,Office","T2,T3",Field data,Data,No,No,No,Inventory,-,-,-,-,-,https://www.fs.usda.gov/research/treesearch/1764#,"The purpose of sampling by the BVET is to inventory a preselected set of habitat characteristics in an entire watershed. Habitat sampling occurs in two steps (Hankin and Reeves 1988). During the first step, the sampling team classifies individual habitat units by habitat type and records visual observations of habitat characteristics, such as water surface area and substrate composition. In the second step, the sampling team pairs visual observations of surface area with actual measurements taken at a predetermined number of units (at least 10 for each habitat type) to develop calibration ratios.","Dolloff, C. Andrew; Hankin, David G.; Reeves, Gordon H. 1993. Basinwide Estimation of Habitat and Fish Populations in Streams. Gen. Tech. Rep. SE-83. Asheville, NC: U.S. Department of Agriculture, Forest Service, Southeastern Forest Experiment Station. 25 p.","Basinwide visual estimation techniques (BVET) are statistically reliable and cost effective for estimating habitat and fish populations across entire watersheds. Survey teams visit habitats in every reach of the study area to record visual observations. At preselected intervals, teams also record actual measurements. These observations and measurements are used to compute calibration ratios that correct for observer bias. This publication introduces modifications of the original BVET protocols and provides examples and practical instructions for use by resource managers."
65,65,Beneficial Use Reconnaissance Project (BURP) Workplan for Wadeable Streams,"Idaho Division of Environmental Quality (BURP TAC, 1999)",Medium,Public,Wadeable Streams,ID,Yes,Idaho Department of Evnironmental Quality,2022,Protocol,-,DC,DC,DC,DC,DC,-,DC,-,-,-,Days,"Medium,High","Field,Office","T2,T3",Field data,"Index,Data",Yes,Yes,No,"Monitoring, Water Quality",-,ID,-,-,https://www2.deq.idaho.gov/water/burpviewer,https://www.deq.idaho.gov/water-quality/surface-water/monitoring-and-assessment/,Collected data is viewable in their web viewer,"Williams, J. Evaluating Clean Water Act progress drivers for Idaho rivers and streams 2002-2022 7.","Idaho’s BURP uses many of the RBP methods and makes modifications to improve consistency and reduce variability, to better fit Idaho’s landscape, and to meet DEQ’s objective (Beneficial Use Reconnaissance Project Technical Advisory Committee 1999).  "
66,66,Bedload Assessment in Gravel-bedded streams (BAGS),Pitlick et al. (2009),Medium,Public,Coarse bed streams,Nationwide,Yes,USFS,2009,Method,-,-,DC,-,-,-,-,-,-,-,-,Hours,Medium,"Field,Office",T1,Field data,Data,No,No,No,Assessment,-,-,-,-,https://www.fs.usda.gov/biology/nsaec/products-tools.html#tools-bagsbedloadassessment,https://www.fs.usda.gov/biology/nsaec/products-tools.html#tools-bagsbedloadassessment,-,"Pitlick, John; Cui, Yantao; Wilcock, Peter. 2009. Manual for computing bed load transport using BAGS (Bedload Assessment for Gravel-bed Streams) Software. Gen. Tech. Rep. RMRS-GTR-223. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. 45 p.","BAGS is a spreadsheet-based program that predicts bed load transport using six well-known bed load transport equations developed specifically for gravel-bed rivers. Sediment transport estimates are calculated on the basis of field measurements of channel geometry, reach-average slope, and bed material grain size. Field data and other relevant input parameters are entered into the program sequentially through a series of prompts to the user. Calculations are carried out using Visual Basic for Applications and the output is stored on individual spreadsheets."
67,67,BSTEM Bank Stability and Toe Erosion Model,USDA 2016,Medium,Public,All streams,Nationwide,Yes,USDA,2016,Model,-,-,DC,-,-,-,-,-,-,-,-,Hours,Medium,"Field,Office",T1,Field data,Data,No,No,No,Assessment,-,-,-,-,https://www.ars.usda.gov/southeast-area/oxford-ms/national-sedimentation-laboratory/watershed-physical-processes-research/research/bstem/overview/,https://www.ars.usda.gov/southeast-area/oxford-ms/national-sedimentation-laboratory/watershed-physical-processes-research/research/bstem/overview/,-,"Simon, A., Curini, A., Langendoen, E., & Thomas, R. (2004). Bank-Stability and Toe-Erosion Model.",-
68,68,Large Woody Debris Index (LWDI) Field Data and Asssesment,Harman et al. 2017,Medium,Private,All streams,Nationwide,Yes,Stream Mechanics,2017,Method,-,-,DC,-,-,DC,-,DC,-,-,-,"Hours,Days",Medium,"Field,Office",T2,Field data,"Index, Data",No,Yes,No,Assessment,-,-,-,-,-,https://stream-mechanics.com/wp-content/uploads/2017/12/LWDI-Manual_V1.pdf,-,"Harman, W.A., T.B. Barrett, C.J. Jones, A. James, and H.M. Peel. 2017. Application of the LargeWoody Debris Index: A Field User Manual Version 1. Stream Mechanics and EcosystemPlanning & Restoration , Raleigh, NC.","Although there are many LWD assessment methods, the Large Woody Debris Index (LWDI) hasbeen included in the Stream Quantification Tool (Harman and Jones, 2017a). The LWDI is fromthe U.S. Forest Service (USFS) General Technical ReportMonitoring Wilderness StreamEcosystems(Davis et al., 2001). While the LWDI was developed for remote wilderness streams,the Stream Quantification Tool (SQT) applies the method to assess LWD as a function-basedparameter of geomorphology in impacted and restored stream reaches. This method is appealingfor use in stream assessments related to restoration because it is more robust than simplycounting pieces per unit length. The additional detail provides a link between structuralassessment and function. The LWDI requires only a moderate level of effort, is not overlycomplex, and is somewhat rapid. For instance, a 100-meter assessment takes about one hour orless for typical amounts of wood."
69,69,WinXSPRO: A Channel Cross-Section Analyzer,Hardy et al. 2005,Medium,Public,All streams,Nationwide,Yes,USFS,2005,Model,-,DC,-,-,-,-,-,-,-,-,-,Hours,Low,"Field,Office","T1,T2,T3","GIS data, Field data",Data,No,No,No,Assessment,-,-,-,-,https://www.fs.usda.gov/biology/nsaec/products-tools.html,https://www.fs.usda.gov/rm/pubs/rmrs_gtr147.pdf,-,"Hardy, T. B., Panja, P., & Mathias, D. (2005). WinXSPRO: A Channel Cross Section Analyzer: User's Manual Version 3.0 (p. 94). Fort Collins: US Department of Agriculture, Forest Service, Rocky Mountain Research Station.","WinXSPRO is an interactive Windows™ software package designed to analyze stream channel cross section data for geometric, hydraulic, and sediment transport parameters. WinXSPRO was specifically developed for use in high-gradient streams (gradient > 0.01) and supports four alternative resistance equations for computing boundary roughness and resistance to flow. Cross section input data may be from standard cross section surveys using a rod and level or sag-tape procedures."
70,70,Stream Channel Flow Resistance Coefficient Computation Tool,"USFS, 2018",Medium,Public,All streams,Nationwide,Yes,USFS,2018,Model,-,RE,-,-,-,-,-,-,-,-,-,Hours,Low,"Field,Office",T2,Field data,Data,No,No,No,Assessment,-,-,-,-,https://www.fs.usda.gov/biology/nsaec/products-tools.html,https://www.fs.usda.gov/biology/nsaec/assets/yochum2017flowresistancespreadsheettoolts-103-2.pdf,-,-,"Screen capture of the Stream Channel Flow Resistance Coefficient Computation ToolStream Channel Flow Resistance Coefficient Computation Tool (2018-2)
A spreadsheet tool is available to assist practitioners with selecting flow resistance coefficients (Manning’s n, Darcy-Weisbach f) for stream channels. Generally, resistance is due to roughness induced by bed and bank grain material, bedforms (such as dunes and step pools), streambank and cross section variability, sinuosity, vegetation, large instream wood, and other obstructions. Coefficients are needed to quantify roughness for hydraulic modeling, stream assessments, stream restoration design, geomorphic analyses, and ecological studies.

Flow resistance coefficient estimation is approximate, requiring redundancy for confidence. This tool helps provide this redundancy, for more reliable flow resistance estimation. Nine quantitative methods, including Bathurst (1985) and Limerinos (1970), are provided and are automatically computed where relevant. The Arcement and Schneider (1989) method is also provided, which highlights resistance contributions from a variety of sources, including channel variability, obstructions, vegetation, and sinuosity."
71,71,Wildcat5: A Rainfall-Runoff Hydrograph Model,"Hawkins and Baretto-Munoz, 2016",Medium,Public,All streams,Nationwide,Yes,USFS,2016,Model,DC,-,-,-,-,-,-,-,-,-,-,Hours,Medium,"Field,Office",T2,Field data,Data,No,No,No,Assessment,-,-,-,-,https://www.fs.usda.gov/biology/nsaec/products-tools.html,https://www.fs.usda.gov/biology/nsaec/assets/rmrs-gtr-334-508compliant.pdf,-,-,"Wildcat5 is an interactive Windows Excel®-based software package designed to assist watershed specialists in analyzing rainfall runoff events to predict peak flow and runoff volumes generated by single-event rainstorms for a variety of watershed soil and vegetation conditions.  The model is intended for small catchments responsive to conditions of upland soils and cover. Its peak flow estimation techniques are appropriate for projects such as gully control, culvert sizing and forest roads, environmental impact analyses, and post-wildfire hydrologic response. The user manual provides step-by-step instructions for using the software and is organized in the same logical fashion in which the data are entered when using the program. Model inputs are rainstorm characteristics, parameters related to watershed soil and cover, runoff timing parameters, and unit hydrograph shape and scale selections. Many choices are available for each of the input categories and guidance is provided for their appropriate selection. Additionally, the user manual describes the fundamental concepts, capabilities, limitations, features, input requirements, and output of Wildcat5."
72,72,logPearson Frequency Analysis Spreadsheet for Analyses of Streamgage,Yochum 2017,Medium,Public,All streams,Nationwide,Yes,USFS,2017,Model,DC,-,-,-,-,-,-,-,-,-,-,Hours,Medium,"Field,Office",T2,Field data,Data,No,No,No,Assessment,-,-,-,-,https://www.fs.usda.gov/biology/nsaec/products-tools.html,https://www.fs.usda.gov/biology/nsaec/assets/yochum_2017_logpearsonspreadsheettool_ts-101-2.pdf,-,-,"Engineering projects along stream corridors require flow frequency estimates for their designs. Where sufficient streamgage data are available, the likely best method for developing flow frequency relationships are from statistical analyses of streamgage data. The standard procedure for developing these estimates use the logPearson frequency analysis, as detailed in Bulletin 17B (Interagency Advisory Committee on Water Data 1982). This spreadsheet tool was developed to implement the analysis procedures detailed in Bulletin 17B."
73,73,FishXing: Software and Learning Systems for Fish Passage,USFS 2006,Medium,Public,All streams,Nationwide,Yes,USFS,2006,Model,-,-,-,-,-,-,DC,-,-,-,-,Hours,Medium,"Field,Office",T2,Field data,Data,No,No,No,Assessment,-,-,-,-,https://www.fs.usda.gov/biology/nsaec/products-tools.html,https://www.fsl.orst.edu/geowater/FX3/help/FX3_Help.html,-,-,"Pronounced ""Fish Crossing"", this software is intended to assist engineers, hydrologists, and fish biologists in the evaluation and design of culverts for fish passage. FishXing 3 is a unique software tool for the assessment and design of culverts for fish passage. FishXing models the complexities of culvert hydraulics and fish performance for a variety of species and crossing configurations. The model has proven useful in identifying culverts that impede fish passage, leading to the removal of numerous barriers. As a design tool, FishXing accommodates the iterative process of designing a new culvert to provide passage for fish and other aquatic species."
74,74,Size-Class Pebble Count Analyzer,USFS 2007,Medium,Public,All streams,Nationwide,Yes,USFS,2007,Method,-,-,DC,-,-,-,-,-,-,-,-,Hours,Medium,"Field,Office",T2,Field data,Data,No,No,No,Assessment,-,-,-,-,https://www.fs.usda.gov/biology/nsaec/products-tools.html,-,-,-,"This Excel spreadsheet was developed to assist with the analysis of pebble count data tallied by size class. The spreadsheet helps users estimate sample size, enter field data tallied by size class, produce tables and graphs, and perform statistical analysis using contingency tables and the Pearson chi-squared statistic. After downloading, to execute the spreadsheet users must select ""Enable Macros"" for the spreadsheet to function properly."
75,75,Fluvial-Geomorph - Level 1 - Channel Stability Analysis,Chris Haring 2023,Medium,Public,All streams,Nationwide,Yes,USACE ERDC CHL,2023,Method,-,DC,DC,-,-,-,-,-,-,-,-,Days,Medium,Office,"T1,T2",GIS data,Data,No,Yes,No,Assessment,-,-,-,-,https://github.com/FluvialGeomorph/FluvialGeomorph-toolbox,https://apps.dtic.mil/sti/trecms/pdf/AD1208937.pdf,-,"Haring, C. P., & Dougherty, M. P. (2023). Geomorphic metrics used in FluvialGeomorph.","Channel Stability Analysis (CSA) analyzes the longitudinal water-surface slope profiles and cross sections. The CSA workflow is illustrated in Figure 2. Such an analysis provides a reconnaissance level of detail to identify potential areas of instability based on simple slope and cross-sectional area comparative analysis. The CSA provides a basis for identifying potential areas of interest where channel degradation, aggradation, or widespread channel changes are observed to determine if more detailed study is required (Haring and Biedenharn 2021). The CSA should be completed prior to field site visits to allow for the focus on areas of concern based on existing information."
76,76,Fluvial-Geomorph - Level 2 - Channel Dimension Analysis,Chris Haring 2023,Medium,Public,All streams,Nationwide,Yes,USACE ERDC CHL,2024,Method,-,DC,DC,-,-,-,-,-,-,-,-,Days,Medium,Office,"T1,T2",GIS data,Data,No,Yes,No,Assessment,-,-,-,-,https://github.com/FluvialGeomorph/FluvialGeomorph-toolbox,https://apps.dtic.mil/sti/trecms/pdf/AD1208937.pdf,-,"Haring, C. P., & Dougherty, M. P. (2023). Geomorphic metrics used in FluvialGeomorph.",Channel dimension analysis (CDA) analyzes bankfull channel conditions based on lidar-derived DEMs to compare against empirically based data to assess channel stability (Figure 6). The final products of the CDA are reach-level reports that plot and map the metrics at a stream channel reach scale. The metrics are compared based on standard existing or user-defined thresholds. The metrics are mapped by color-coded signals.
77,77,Fluvial-Geomorph - Level 3 - Planform Dimension Analysis,Chris Haring 2023,Medium,Public,All streams,Nationwide,Yes,USACE ERDC CHL,2025,Method,-,DC,DC,-,-,-,-,-,-,-,-,Days,Medium,Office,"T1,T2",GIS data,Data,No,Yes,No,Assessment,-,-,-,-,https://github.com/FluvialGeomorph/FluvialGeomorph-toolbox,https://apps.dtic.mil/sti/trecms/pdf/AD1208937.pdf,-,"Haring, C. P., & Dougherty, M. P. (2023). Geomorphic metrics used in FluvialGeomorph.",PDA analyzes planform dimensions measured from the lidar-derived DEM to compare against empirically based data to further assess channel stability (Figure 12). The final products of the PDA are reach-level reports that plot and map the metrics at a stream channel reach scale. The metrics are compared based on standard existing or user-defined thresholds. The metrics are mapped by color-coded signals.
78,78,GeoTools,"Bledsoe et al. 2007, Bledsoe et al. 2012 ",Medium,Academia,All streams,Nationwide,Yes,UGA,2007,Model,DC,DC,DC,-,-,-,-,-,-,-,-,Days,Medium,"Field,Office",T2,"GIS Data, Field Data",Data,No,No,No,Assessment,-,-,-,-,https://www.engr.colostate.edu/~bbledsoe/GeoTool/,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1752-1688.2007.00060.x,-,"Bledsoe, B. P., Brown, M. C., & Raff, D. A. (2007). GeoTools: A Toolkit for Fluvial System Analysis 1. JAWRA Journal of the American Water Resources Association, 43(3), 757-772.",-
79,79,Stream Mitigation Guidelines (NC),USACE 2003,Low,Public,Non-tidal streams,NC,Yes,USACE,2003,Protocol,-,-,S,-,DC,DC,-,S,-,-,-,Days,Low,Field,"T1,T2",Field data,"Index, Data",No,Yes,No,CWA 404/401,-,NC,-,Wilmington District,https://www.deq.nc.gov/about/divisions/water-resources/water-quality-permitting/401-buffer-permitting/stream-wetland-mitigation-program,https://www.deq.nc.gov/about/divisions/water-resources/water-quality-permitting/401-buffer-permitting/stream-wetland-mitigation-program,-,"USACE Wilmington District, et al., 2003. Stream Mitigation Guidelines. U.S. Army Corps of Engineers, Wilmington District, North Carolina Division of Water Quality, U.S. Environmental Protection Agency, Region 4, Natural Resources Conservation Service, and North Carolina Wildlife Resources Commission. Wilmington, NC.","This guidance has been prepared by a workgroup consisting of representatives from U.S. Army Corps ofEngineers, Wilmington District (District), North Carolina Division of Water Quality (DWQ), U.S. Environmental Protection Agency, Region IV (EPA), Natural Resources Conservation Service (NRCS) and the North Carolina Wildlife Resources Commission (WRC). This document is intended to provide the regulated community ofNorth Carolina with joint and consistent, District and DWQ stream mitigation guidance."
80,80,Stream Assessment Protocol for Headwater Streams in the Eastern Kentucky Coalfield Region (eKY Protocol),"USACE 2003 (Sparks 2003a, 2003b)",Low,Public,Headwater streams (1st/2nd order),Eastern KY Coalfield,Yes,USACE,2003,Protocol,-,-,S,RE,DC,DC,-,S,-,-,-,Days,Low,Field,"T1,T2",Field data,"Index, Data",No,No,Yes,CWA 404,Eastern KY,KY,-,Louisville District,https://www.lrl.usace.army.mil/Portals/64/docs/regulatory/Mitigation/ExecSummary.pdf,https://www.lrl.usace.army.mil/Portals/64/docs/regulatory/Mitigation/ExecSummary.pdf,"See also Pond and McMurray (2002), http://www.water.ky.gov/sw/swmonitor/sop/","Sparks, J., J. Townsend, T. Hagman, and D. Messer. 2003b. Stream assessment protocol for headwater streams in the Eastern Kentucky Coalfield region. Aquatic Resources News: A Regulatory Newsletter 2(1):2-5.","An interagency team including members from the U.S. Army Corps of Engineers (COE), the U.S. Environmental Protection Agency (EPA), the U.S. Fish and Wildlife Service (USFWS), the Kentucky Division of Water (KDOW), and the Kentucky Department of Fish and Wildlife Resources (KDFWR) was assembled to address the needs for a headwater stream assessment procedure that would accommodate the 404 programmatic requirements in the eastern Kentucky Coalfield Region."
81,81,Draft Stream Relocation/Mitigation Guidelines (Kentucky),KDOW 2007,Low,Public,All streams,KY,Yes,KDOW,2007,Protocol,-,-,S,-,-,S,-,S,S,-,-,"Hours,Days",Medium,Field,T1,Field data,"Index, Data",No,Yes,Yes,CWA 401,-,KY,-,-,-,http://www.water.ky.gov/permitting/wqcert/,-,"KDOW, 2002. Draft Stream Mitigation Guidelines. Kentucky Division of W ater, Frankfort, KY.",The Kentucky Division of Water and the Army Corps of Engineers will require compensatory mitigation for all permanent stream losses greater than 200 feet in length that occur in Surface Waters.
